analysis_type,true_label,predicted_label,count,trial,query_index,closest_distance
confusion,114,184,2,,,
confusion,161,100,1,,,
confusion,173,61,1,,,
confusion,153,267,1,,,
confusion,76,249,1,,,
confusion,286,242,1,,,
confusion,151,11,1,,,
confusion,229,280,1,,,
confusion,48,276,1,,,
confusion,174,191,1,,,
confusion,153,71,1,,,
confusion,53,130,1,,,
confusion,229,147,1,,,
confusion,120,108,1,,,
confusion,244,160,1,,,
confusion,247,7,1,,,
confusion,210,205,1,,,
confusion,98,90,1,,,
confusion,31,271,1,,,
confusion,86,222,1,,,
confusion,270,266,1,,,
confusion,276,104,1,,,
confusion,211,89,1,,,
confusion,202,275,1,,,
confusion,279,74,1,,,
confusion,31,222,1,,,
confusion,213,265,1,,,
confusion,68,268,1,,,
confusion,263,2,1,,,
confusion,223,227,1,,,
confusion,224,56,1,,,
confusion,14,227,1,,,
confusion,29,266,1,,,
confusion,163,140,1,,,
confusion,205,168,1,,,
confusion,129,109,1,,,
confusion,23,20,1,,,
confusion,219,247,1,,,
confusion,261,197,1,,,
confusion,128,118,1,,,
confusion,26,74,1,,,
confusion,5,165,1,,,
confusion,60,64,1,,,
confusion,5,166,1,,,
confusion,75,220,1,,,
confusion,42,107,1,,,
confusion,60,172,1,,,
confusion,105,173,1,,,
confusion,108,40,1,,,
confusion,16,81,1,,,
confusion,68,99,1,,,
confusion,249,265,1,,,
confusion,66,128,1,,,
confusion,166,93,1,,,
confusion,263,228,1,,,
confusion,68,59,1,,,
confusion,225,261,1,,,
confusion,57,39,1,,,
confusion,280,144,1,,,
confusion,135,50,1,,,
confusion,272,115,1,,,
confusion,93,232,1,,,
confusion,136,201,1,,,
confusion,63,59,1,,,
confusion,87,155,1,,,
confusion,135,51,1,,,
confusion,15,101,1,,,
confusion,278,11,1,,,
confusion,176,121,1,,,
confusion,134,13,1,,,
confusion,56,70,1,,,
confusion,11,102,1,,,
confusion,29,261,1,,,
confusion,213,95,1,,,
confusion,78,266,1,,,
confusion,74,141,1,,,
confusion,254,218,1,,,
confusion,249,144,1,,,
confusion,219,87,1,,,
confusion,59,260,1,,,
confusion,87,159,1,,,
confusion,198,141,1,,,
confusion,264,79,1,,,
confusion,124,116,1,,,
confusion,104,64,1,,,
confusion,98,269,1,,,
confusion,213,131,1,,,
confusion,128,48,1,,,
confusion,193,190,1,,,
confusion,159,223,1,,,
confusion,64,195,1,,,
confusion,31,255,1,,,
confusion,171,9,1,,,
confusion,100,155,1,,,
hardest_failure,105,173,,115,43,0.092
hardest_failure,278,11,,153,995,0.1125
hardest_failure,15,101,,150,289,0.1292
hardest_failure,42,107,,112,1122,0.1309
hardest_failure,5,165,,108,1160,0.131
hardest_failure,153,267,,3,305,0.143
hardest_failure,225,261,,134,709,0.1439
hardest_failure,270,266,,57,956,0.1459
hardest_failure,264,79,,181,920,0.165
hardest_failure,48,276,,15,1153,0.1651
