analysis_type,true_label,predicted_label,count,trial,query_index,closest_distance
confusion,Tops,Shirts,7,,,
confusion,Jeans,Trousers,7,,,
confusion,Shorts,Jeans,7,,,
confusion,Tshirts,Shirts,7,,,
confusion,Tops,Tshirts,5,,,
confusion,Trousers,Jeans,4,,,
confusion,Shirts,Tshirts,3,,,
confusion,Tops,Kurtas,3,,,
confusion,Shorts,Trousers,3,,,
confusion,Trousers,Shorts,3,,,
confusion,Shorts,Briefs,2,,,
confusion,Jeans,Shorts,2,,,
confusion,Shirts,Tops,1,,,
confusion,Briefs,Shirts,1,,,
confusion,Kurtas,Shirts,1,,,
confusion,Tshirts,Tops,1,,,
confusion,Shorts,Shirts,1,,,
confusion,Shorts,Tops,1,,,
confusion,Briefs,Tshirts,1,,,
confusion,Shorts,Tshirts,1,,,
confusion,Briefs,Shorts,1,,,
hardest_failure,Jeans,Trousers,,111,2713,0.0869
hardest_failure,Shirts,Tshirts,,18,2788,0.1045
hardest_failure,Trousers,Jeans,,43,1492,0.1071
hardest_failure,Jeans,Trousers,,35,359,0.1331
hardest_failure,Trousers,Jeans,,78,2197,0.1373
hardest_failure,Shirts,Tshirts,,0,367,0.1379
hardest_failure,Jeans,Trousers,,129,2683,0.1418
hardest_failure,Jeans,Trousers,,39,88,0.1435
hardest_failure,Trousers,Shorts,,59,2365,0.1521
hardest_failure,Jeans,Shorts,,125,2872,0.1587
